S_no,State/UT,Cumulative_Cases_(Including_Foreigners),Discharged/Cured/Migrated,Deaths
1,A&N Islands,10766,10637,129
2,Andhra Pradesh,2340597,2325745,14733
3,Arunachal Pradesh,66953,66618,296
4,Assam,746122,738080,8035
5,Bihar,854490,841528,12312
6,Chandigarh,100590,99251,1185
7,Chhattisgarh,1186659,1171033,14181
8,Dadar and Nagar Haveli and Daman and Diu,11592,11588,4
9,Delhi,2039741,2011451,26637
10,Goa,262560,258275,4014
11,Gujarat,1290850,1279026,11074
12,Haryana,1077951,1065266,10740
13,Himachal Pradesh,321932,317042,4238
14,J&K (UT),481747,476716,4790
15,Jharkhand,443738,438191,5333
16,Karnataka,4086958,4045771,40351
17,Kerala,6898661,6818928,71861
18,Ladakh,29573,29332,231
19,Lakshadweep,11415,11363,52
20,Madhya Pradesh,1056291,1045387,10786
21,Maharashtra,8166867,8015860,148532
22,Manipur,139970,137806,2149
23,Meghalaya,96874,95222,1626
24,Mizoram,239121,238296,727
25,Nagaland,36005,35218,782
26,Odisha,1346371,1332855,9213
27,Puducherry,177376,175313,1981
28,Punjab,792774,771340,19320
29,Rajasthan,1325574,1314068,9709
30,Sikkim,44690,44101,500
31,Tamil Nadu,3609537,3569594,38073
32,Telangana,843803,839405,4111
33,Tripura,108113,107130,940
34,Uttar Pradesh,2143910,2118329,23692
35,Uttarakhand,452244,444333,7764
36,West Bengal,2123154,2099317,21541
37,TOTAL,44965569,44399415,531642
